thr,treat,date,fips,Z,G,tau_dir_log,tau_peer_log,tau_overall_log,sigma_log
0.25,vax2,2021-02-15,5035,0,0.0,-0.0036677576677461693,0.0,-0.0036677576677461693,0.027373177276530904
0.25,vax2,2021-02-15,5037,0,0.0,0.0037810211625676346,0.0,0.0037810211625676346,0.027373177276530904
0.25,vax2,2021-02-15,5039,1,0.0,-0.007687961276153023,0.0,-0.007687961276153023,0.027373177276530904
0.25,vax2,2021-02-15,5041,0,0.0,-0.01620723681589489,0.0,-0.01620723681589489,0.027373177276530904
0.25,vax2,2021-02-15,5043,0,0.0,0.006509525045964945,0.0,0.006509525045964945,0.027373177276530904
0.25,vax2,2021-02-15,5045,1,0.0,0.005597374838982839,0.0,0.005597374838982839,0.027373177276530904
0.25,vax2,2021-02-15,5047,1,0.0,0.006661766939141005,0.0,0.006661766939141005,0.027373177276530904
0.25,vax2,2021-02-15,5049,0,0.0,0.0056749381494706624,0.0,0.0056749381494706624,0.027373177276530904
0.25,vax2,2021-02-15,5051,1,0.0,0.026808235341378592,0.0,0.026808235341378592,0.027373177276530904
0.25,vax2,2021-02-15,5053,0,0.0,-0.02455942344565423,0.0,-0.02455942344565423,0.027373177276530904
0.25,vax2,2021-02-15,5055,1,0.0,-0.009511059298253745,0.0,-0.009511059298253745,0.027373177276530904
0.25,vax2,2021-02-15,5057,0,0.0,-0.022741357333238815,0.0,-0.022741357333238815,0.027373177276530904
0.25,vax2,2021-02-15,5059,0,0.0,0.016383346088781576,0.0,0.016383346088781576,0.027373177276530904
0.25,vax2,2021-02-15,5061,0,0.0,-0.0012460615376163452,0.0,-0.0012460615376163452,0.027373177276530904
0.25,vax2,2021-02-15,5063,0,0.0,0.0008851139468140876,0.0,0.0008851139468140876,0.027373177276530904
0.25,vax2,2021-02-15,5065,0,0.0,0.00337209587234619,0.0,0.00337209587234619,0.027373177276530904
0.25,vax2,2021-02-15,5067,0,0.0,0.023202183162029415,0.0,0.023202183162029415,0.027373177276530904
0.25,vax2,2021-02-15,5069,0,0.0,-0.0033923910607606654,0.0,-0.0033923910607606654,0.027373177276530904
0.25,vax2,2021-02-15,5071,0,0.0,-0.011863931854139921,0.0,-0.011863931854139921,0.027373177276530904
0.25,vax2,2021-02-15,5073,0,0.0,-0.011658854434460622,0.0,-0.011658854434460622,0.027373177276530904
0.25,vax2,2021-02-15,5075,0,0.0,0.017513086238165766,0.0,0.017513086238165766,0.027373177276530904
0.25,vax2,2021-02-15,5077,0,0.0,0.027053263878183926,0.0,0.027053263878183926,0.027373177276530904
0.25,vax2,2021-02-15,5079,0,0.0,0.044470845657076145,0.0,0.044470845657076145,0.027373177276530904
0.25,vax2,2021-02-15,5081,0,0.0,-0.0055818580060763906,0.0,-0.0055818580060763906,0.027373177276530904
0.25,vax2,2021-02-15,5083,0,0.0,-0.0005807551968566017,0.0,-0.0005807551968566017,0.027373177276530904
0.25,vax2,2021-02-15,5085,0,0.0,-0.023014069835290262,0.0,-0.023014069835290262,0.027373177276530904
0.25,vax2,2021-02-15,5087,0,0.0,-0.008730517241732802,0.0,-0.008730517241732802,0.027373177276530904
0.25,vax2,2021-02-15,5089,0,0.0,0.005157718366193629,0.0,0.005157718366193629,0.027373177276530904
